Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Estratégia de lances do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do segmento,Lance do segmento,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,Compras,Taxa de compra em relação aos cliques,Unidades vendidas,ROAS
24 de ago. de 2026 - 31 de ago. de 2026,"=""78244851008766""",Campanha automática individual EGC,"=""394021670034987""",Campanha automática individual EGC,,close-match,TARGETING_EXPRESSION_PREDEFINED,323574313655914,,1383289894499,campanha automatica individual,BRL,202,0,0.0000%,,0.00,0.00,0,,0,
28 de ago. de 2026 - 30 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0DTM9TDSV""",TARGETING_EXPRESSION,176726206334820,0.78,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
24 de ago. de 2026 - 25 de ago. de 2026,"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,"=""261168792220999""",Campanha de Produto Indicado- PXM-o311/08,,"asin-expanded=""B0C5JQLXG1""",TARGETING_EXPRESSION,36214307665466,1.1,146788124202114,campanha de produto indicado,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0CKC1PHXJ""",TARGETING_EXPRESSION,113067272103165,1.1,146788124202114,campanha de produto indicado,BRL,73,0,0.0000%,,0.00,0.00,0,,0,
24 de ago. de 2026 - 30 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0B86ZNWSL""",TARGETING_EXPRESSION,32072750959755,0.78,146788124202114,campanha de produto indicado,BRL,6,0,0.0000%,,0.00,0.00,0,,0,
27 de ago. de 2026 - 31 de ago. de 2026,"=""118770317056339""",Campanha de Produto Indicado- L2470-CZ-o425/08,"=""14733660752446""",Campanha de Produto Indicado- L2470-CZ-o425/08,,"asin-expanded=""B0GH2629FB""",TARGETING_EXPRESSION,67475511161177,0.66,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
26 de ago. de 2026 - 26 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0H51M7C59""",TARGETING_EXPRESSION,79508401158990,0.78,146788124202114,campanha de produto indicado,BRL,1,0,0.0000%,,0.00,0.00,0,,0,
27 de ago. de 2026 - 30 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B0F4SPQ2W6""",TARGETING_EXPRESSION,208839710393992,1.0,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
26 de ago. de 2026 - 30 de ago. de 2026,"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,"=""261168792220999""",Campanha de Produto Indicado- PXM-o311/08,,"asin=""B0D94WNC5R""",TARGETING_EXPRESSION,41784361728742,0.9,146788124202114,campanha de produto indicado,BRL,3,0,0.0000%,,0.00,0.00,0,,0,
29 de ago. de 2026 - 29 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B076MDSXMC""",TARGETING_EXPRESSION,139539010522872,0.78,146788124202114,campanha de produto indicado,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
24 de ago. de 2026 - 31 de ago. de 2026,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,,"asin-expanded=""B076PRBP7Z""",TARGETING_EXPRESSION,219866863898979,1.1,146788124202114,campanha de produto indicado,BRL,5,0,0.0000%,,0.00,0.00,0,,0,
29 de ago. de 2026 - 30 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B0GZX6NSY5""",TARGETING_EXPRESSION,213856253818846,0.78,146788124202114,campanha de produto indicado,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
29 de ago. de 2026 - 29 de ago. de 2026,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""212453488975658""",Campanha de Produto Indicado- PG3070-o425/08,,"asin-expanded=""B0F8KKVMX5""",TARGETING_EXPRESSION,85529968072155,0.66,146788124202114,campanha de produto indicado,BRL,2,0,0.0000%,,0.00,0.00,0,,0,
27 de ago. de 2026 - 27 de ago. de 2026,"=""51280467188765""",Campanha de Produto Indicado- L2030-B-o311/08,"=""39531632646033""",Campanha de Produto Indicado- L2030-B-o311/08,,"asin-expanded=""B07GYTMZVK""",TARGETING_EXPRESSION,150946376580962,0.78,146788124202114,campanha de produto indicado,BRL,1,0,0.0000%,,0.00,0.00,0,,0,
25 de ago. de 2026 - 31 de ago. de 2026,"=""7243834473931""",Campanha de Produto Indicado- PG3070-o425/08,"=""212453488975658""",Campanha de Produto Indicado- PG3070-o425/08,,"asin-expanded=""B0BG5FXZNB""",TARGETING_EXPRESSION,196764497613467,0.66,146788124202114,campanha de produto indicado,BRL,16,0,0.0000%,,0.00,0.00,0,,0,
